,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
11/2004 - 1/2005,1948,1583.7,3531.8,0.2,3.4,1.6,71.2,52.3,61.3,127.8,82.6,210.4,6.6,5.2,6,6.4,1820.3,1501.1,3321.4,70.6,37.6,108.2,3.6,2.4,3.1
12/2004 - 2/2005,1939.4,1581.1,3520.5,-0.3,2.6,1,70.9,52.1,61,129.9,75.7,205.6,6.7,4.8,5.8,6.1,1809.5,1505.5,3315,65.7,37.2,102.9,3.4,2.4,2.9
1/2005 - 3/2005,1943.6,1583,3526.5,-0.3,2.3,0.8,71,52.1,61.1,132.7,73.7,206.4,6.8,4.7,5.9,6,1810.9,1509.3,3320.1,71,36.2,107.3,3.7,2.3,3
2/2005 - 4/2005,1940.2,1578.8,3518.9,-0.5,2.2,0.7,70.9,51.9,60.9,136.1,69.9,206,7,4.4,5.9,5.9,1804.1,1508.9,3313,67.9,36.4,104.3,3.5,2.3,3
3/2005 - 5/2005,1946,1578.5,3524.4,-0.3,1.9,0.7,71.1,51.8,60.9,132.4,68.9,201.3,6.8,4.4,5.7,5.7,1813.5,1509.6,3323.1,70.7,34.6,105.3,3.6,2.2,3
4/2005 - 6/2005,1944.5,1583.4,3527.9,-0.6,1.9,0.5,71,51.9,60.9,132.1,69.5,201.6,6.8,4.4,5.7,5.7,1812.4,1514,3326.3,68.3,30.2,98.5,3.5,1.9,2.8
5/2005 - 7/2005,1952.1,1589.3,3541.4,-0.4,1.8,0.6,71.2,52,61.1,137.1,76.2,213.3,7,4.8,6,5.7,1815,1513.1,3328.1,67.8,29.4,97.2,3.5,1.9,2.7
6/2005 - 8/2005,1957,1596,3553,-0.3,1.9,0.7,71.3,52.2,61.3,134.6,77.7,212.3,6.9,4.9,6,5.6,1822.4,1518.2,3340.7,63.7,31,94.7,3.3,1.9,2.7
7/2005 - 9/2005,1958.7,1588.2,3546.9,0.2,1.5,0.8,71.3,51.9,61.1,128,74.6,202.7,6.5,4.7,5.7,5.4,1830.6,1513.6,3344.2,60.6,31.8,92.4,3.1,2,2.6
8/2005 - 10/2005,1961.8,1588.4,3550.3,0.5,0.8,0.6,71.4,51.8,61,120.3,70.2,190.5,6.1,4.4,5.4,5.3,1841.5,1518.2,3359.8,58,30.3,88.3,3,1.9,2.5
9/2005 - 11/2005,1957.2,1588.3,3545.4,0.3,0.5,0.4,71.1,51.7,60.8,120,67.1,187,6.1,4.2,5.3,5.4,1837.2,1521.2,3358.4,57.6,28.5,86.1,2.9,1.8,2.4
10/2005 - 12/2005,1956,1595,3551,0.1,0.7,0.4,71,51.8,60.9,115.6,62.8,178.4,5.9,3.9,5,5.2,1840.4,1532.2,3372.6,58.3,28.5,86.8,3,1.8,2.4
11/2005 - 1/2006,1951.5,1593.4,3545,0.2,0.6,0.4,70.9,51.8,60.8,113.5,57,170.4,5.8,3.6,4.8,5.2,1838.1,1536.5,3374.5,57.3,25.7,83,2.9,1.6,2.3
12/2005 - 2/2006,1946.3,1591.7,3537.9,0.4,0.7,0.5,70.8,51.8,60.8,116.5,56,172.5,6,3.5,4.9,5.1,1829.8,1535.6,3365.4,55.8,24,79.8,2.9,1.5,2.3
1/2006 - 3/2006,1950.8,1601.6,3552.4,0.4,1.2,0.7,71.1,52.2,61.1,119.6,57.9,177.5,6.1,3.6,5,5.1,1831.2,1543.7,3374.9,58.1,22.1,80.1,3,1.4,2.3
2/2006 - 4/2006,1946.4,1601.7,3548.1,0.3,1.5,0.8,70.9,52.1,61,118.1,58.7,176.8,6.1,3.7,5,5,1828.3,1543,3371.3,56.3,26.4,82.7,2.9,1.6,2.3
3/2006 - 5/2006,1942.2,1608,3550.2,-0.2,1.9,0.7,70.7,52.3,61,111.4,59.7,171.1,5.7,3.7,4.8,4.9,1830.8,1548.4,3379.1,62.4,29.2,91.6,3.2,1.8,2.6
4/2006 - 6/2006,1935.9,1610.2,3546.1,-0.4,1.7,0.5,70.4,52.3,60.8,113.6,62.6,176.2,5.9,3.9,5,4.9,1822.3,1547.6,3369.9,63.6,29.5,93,3.3,1.8,2.6
5/2006 - 7/2006,1946.3,1631.2,3577.5,-0.3,2.6,1,70.8,52.9,61.3,114.6,70.3,184.8,5.9,4.3,5.2,4.9,1831.7,1560.9,3392.6,62.8,27.9,90.6,3.2,1.7,2.5
6/2006 - 8/2006,1961.2,1637.9,3599.1,0.2,2.6,1.3,71.3,53,61.6,115,71.8,186.8,5.9,4.4,5.2,4.8,1846.2,1566.1,3412.3,61.3,25.5,86.8,3.1,1.6,2.4
7/2006 - 9/2006,1962.3,1649.2,3611.5,0.2,3.8,1.8,71.2,53.2,61.7,108.3,69.4,177.6,5.5,4.2,4.9,4.6,1854,1579.9,3433.9,56.9,27.1,84,2.9,1.6,2.3
8/2006 - 10/2006,1962.4,1647,3609.4,[¡ì3],3.7,1.7,71.1,53,61.5,103.7,62.2,165.9,5.3,3.8,4.6,4.6,1858.7,1584.8,3443.5,59.9,27.8,87.7,3.1,1.7,2.4
9/2006 - 11/2006,1966,1649.4,3615.4,0.5,3.8,2,71.1,53,61.5,101.7,56.5,158.2,5.2,3.4,4.4,4.5,1864.3,1592.9,3457.2,61,27.8,88.8,3.1,1.7,2.5
10/2006 - 12/2006,1966.3,1649.8,3616.1,0.5,3.4,1.8,71.1,52.9,61.5,99.5,54,153.6,5.1,3.3,4.2,4.5,1866.7,1595.8,3462.6,61.4,26.1,87.5,3.1,1.6,2.4
11/2006 - 1/2007,1962,1660.9,3622.9,0.5,4.2,2.2,70.9,53.2,61.5,94.9,54.7,149.6,4.8,3.3,4.1,4.5,1867.1,1606.2,3473.3,60,23.5,83.5,3.1,1.4,2.3
12/2006 - 2/2007,1954.7,1656.7,3611.4,0.4,4.1,2.1,70.6,53.1,61.3,91.9,54.6,146.5,4.7,3.3,4.1,4.3,1862.8,1602.1,3464.9,57.3,22.7,80.1,2.9,1.4,2.2
1/2007 - 3/2007,1955.4,1648.6,3604,0.2,2.9,1.5,70.6,52.8,61.1,96.1,56,152.1,4.9,3.4,4.2,4.3,1859.3,1592.6,3451.9,55.7,24.4,80.1,2.8,1.5,2.2
2/2007 - 4/2007,1958.9,1645.8,3604.6,0.6,2.8,1.6,70.7,52.6,61.1,98.9,57.6,156.5,5,3.5,4.3,4.3,1859.9,1588.2,3448.1,53.6,23.4,77,2.7,1.4,2.1
3/2007 - 5/2007,1955.5,1656,3611.4,0.7,3,1.7,70.5,52.9,61.2,96.9,59,155.9,5,3.6,4.3,4.3,1858.6,1596.9,3455.5,55.1,23.8,78.8,2.8,1.4,2.2
4/2007 - 6/2007,1952.9,1668.7,3621.6,0.9,3.6,2.1,70.3,53.2,61.2,95.5,60.8,156.3,4.9,3.6,4.3,4.2,1857.4,1607.9,3465.3,58.4,22.5,81,3,1.4,2.2
5/2007 - 7/2007,1957.6,1675.9,3633.4,0.6,2.7,1.6,70.5,53.4,61.4,97.3,61.7,159,5,3.7,4.4,4.1,1860.2,1614.2,3474.5,59.2,24.3,83.5,3,1.4,2.3
6/2007 - 8/2007,1961.3,1691.3,3652.6,[¡ì3],3.3,1.5,70.6,53.8,61.7,100.6,66.6,167.2,5.1,3.9,4.6,4.2,1860.7,1624.7,3485.4,58.4,25.8,84.2,3,1.5,2.3
7/2007 - 9/2007,1961.2,1681,3642.2,-0.1,1.9,0.8,70.6,53.4,61.5,95.3,61.2,156.5,4.9,3.6,4.3,4.1,1865.9,1619.8,3485.7,56,24.4,80.4,2.9,1.5,2.2
8/2007 - 10/2007,1951.8,1671.3,3623.1,-0.5,1.5,0.4,70.2,53,61.1,87.2,56.6,143.7,4.5,3.4,4,4,1864.7,1614.8,3479.4,59.1,22.8,81.9,3,1.4,2.3
9/2007 - 11/2007,1948.3,1667.5,3615.8,-0.9,1.1,[¡ì3],70,52.8,60.9,77.8,50.4,128.2,4,3,3.5,3.7,1870.5,1617.1,3487.6,58.6,20.7,79.3,3,1.2,2.2
10/2007 - 12/2007,1955.9,1675.5,3631.3,-0.5,1.6,0.4,70.3,53,61.1,69.8,48.4,118.2,3.6,2.9,3.3,3.4,1886.1,1627,3513.1,55.2,19.3,74.5,2.8,1.2,2.1
11/2007 - 1/2008,1955.4,1688,3643.4,-0.3,1.6,0.6,70.2,53.3,61.2,68.8,44.7,113.5,3.5,2.6,3.1,3.4,1886.7,1643.3,3529.9,54.9,19.6,74.5,2.8,1.2,2
12/2007 - 2/2008,1950.7,1680.8,3631.6,-0.2,1.5,0.6,70,53.1,61,69.9,41.5,111.4,3.6,2.5,3.1,3.3,1880.8,1639.3,3520.1,49.9,18.2,68.1,2.6,1.1,1.9
