,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
9/2018 - 11/2018,2007,1980.6,3987.6,0.2,1.4,0.8,68.2,55,60.9,65,45.9,110.9,3.2,2.3,2.8,2.8,1942.1,1934.7,3876.7,33.5,12.3,45.8,1.7,0.6,1.1
10/2018 - 12/2018,2005.9,1984.5,3990.3,0.3,1.2,0.8,68.1,55,60.9,62.7,43.3,106,3.1,2.2,2.7,2.8,1943.2,1941.2,3884.4,32.7,11.7,44.4,1.6,0.6,1.1
11/2018 - 1/2019,2002.5,1984.4,3986.9,-0.2,0.9,0.3,68,55,60.9,61.3,40.7,102,3.1,2.1,2.6,2.8,1941.2,1943.7,3884.9,31.3,10.9,42.2,1.6,0.5,1.1
12/2018 - 2/2019,1999.3,1984.3,3983.7,-0.6,0.6,[¡ì3],67.9,55,60.8,62.3,40.3,102.6,3.1,2,2.6,2.8,1937,1944,3881,29.5,11,40.4,1.5,0.6,1
1/2019 - 3/2019,1994.7,1990.8,3985.4,-0.8,0.7,-0.1,67.8,55.1,60.8,68.6,41.5,110.2,3.4,2.1,2.8,2.8,1926,1949.2,3875.3,28,11.1,39,1.4,0.6,1
2/2019 - 4/2019,1988.7,2000.9,3989.6,-0.9,1.2,0.2,67.5,55.3,60.8,67.2,44.7,111.9,3.4,2.2,2.8,2.8,1921.5,1956.1,3877.7,27.9,10.1,38,1.4,0.5,1
3/2019 - 5/2019,1989.5,2003.3,3992.8,-0.9,1.7,0.4,67.5,55.3,60.8,70.1,43.9,113.9,3.5,2.2,2.9,2.8,1919.5,1959.4,3878.9,29,10.1,39.2,1.5,0.5,1
4/2019 - 6/2019,1990.1,2003.8,3993.9,-0.7,1.2,0.3,67.6,55.3,60.8,69.2,45,114.2,3.5,2.2,2.9,2.8,1920.9,1958.8,3879.7,30.5,10.5,41,1.5,0.5,1
5/2019 - 7/2019,1986.8,2006.6,3993.4,-1.2,1.3,0.1,67.5,55.3,60.8,71.7,46.7,118.4,3.6,2.3,3,2.8,1915.1,1959.9,3875,29.9,10.6,40.4,1.5,0.5,1
6/2019 - 8/2019,1986,2007.4,3993.3,-1.5,0.9,-0.3,67.4,55.3,60.7,71.2,49.1,120.2,3.6,2.4,3,2.9,1914.8,1958.3,3873.1,30.7,10.1,40.8,1.5,0.5,1
7/2019 - 9/2019,1983.4,2005.7,3989.1,-1.9,1.4,-0.3,67.2,55.2,60.6,69.5,50.4,119.9,3.5,2.5,3,2.9,1913.9,1955.3,3869.2,31.4,9.9,41.3,1.6,0.5,1
8/2019 - 10/2019,1985.5,2002.2,3987.7,-1.7,1.2,-0.2,67.2,55.1,60.5,73.5,51.5,125,3.7,2.6,3.1,3,1912,1950.6,3862.7,34,11.6,45.7,1.7,0.6,1.1
9/2019 - 11/2019,1988.4,1991.8,3980.2,-0.9,0.6,-0.2,67.2,54.8,60.4,73.9,51,124.9,3.7,2.6,3.1,3.1,1914.5,1940.8,3855.3,34.1,12.5,46.6,1.7,0.6,1.2
10/2019 - 12/2019,1986.2,1985.6,3971.8,-1,0.1,-0.5,67.1,54.6,60.2,75.3,48.7,124.1,3.8,2.5,3.1,3.3,1910.9,1936.8,3847.7,33.5,13.8,47.3,1.7,0.7,1.2
11/2019 - 1/2020,1980.7,1978.4,3959,-1.1,-0.3,-0.7,67,54.5,60.1,73.2,49.4,122.6,3.7,2.5,3.1,3.4,1907.5,1928.9,3836.4,32.6,14.9,47.6,1.6,0.8,1.2
12/2019 - 2/2020,1962.4,1978,3940.4,-1.8,-0.3,-1.1,66.5,54.5,59.9,84.3,54.9,139.2,4.3,2.8,3.5,3.8,1878.1,1923.1,3801.2,39,22,61,2,1.1,1.5
1/2020 - 3/2020,1947.4,1973.4,3920.9,-2.4,-0.9,-1.6,66,54.4,59.6,97.4,68.7,166.1,5,3.5,4.2,4.3,1850,1904.8,3754.8,50.4,34.8,85.2,2.6,1.8,2.2
2/2020 - 4/2020,1932.6,1966.2,3898.8,-2.8,-1.7,-2.3,65.6,54.3,59.3,116.1,87.1,203.2,6,4.4,5.2,5.2,1816.5,1879.1,3695.6,68.5,49.9,118.4,3.5,2.5,3
3/2020 - 5/2020,1932.5,1960,3892.5,-2.9,-2.2,-2.5,65.6,54.2,59.3,134.1,98.1,232.2,6.9,5,6,5.9,1798.4,1861.9,3660.3,78.1,59.4,137.5,4,3,3.5
4/2020 - 6/2020,1937.1,1967.8,3904.9,-2.7,-1.8,-2.2,65.8,54.4,59.6,141.2,101.8,242.9,7.3,5.2,6.2,6.1,1795.9,1866.1,3662,82.3,63.3,145.6,4.3,3.2,3.7
5/2020 - 7/2020,1952.4,1967.1,3919.5,-1.7,-2,-1.9,66.4,54.5,59.9,147.8,96.3,244,7.6,4.9,6.2,6,1804.7,1870.8,3675.5,77.2,59.3,136.5,4,3,3.5
6/2020 - 8/2020,1949.5,1968.1,3917.6,-1.8,-2,-1.9,66.4,54.6,59.9,148.5,101.2,249.7,7.6,5.1,6.4,6.1,1801,1866.9,3668,83.5,69.2,152.7,4.3,3.5,3.9
7/2020 - 9/2020,1950.1,1954.8,3904.9,-1.7,-2.5,-2.1,66.5,54.3,59.8,152.2,103.3,255.5,7.8,5.3,6.5,6.2,1798,1851.5,3649.4,86.2,66.5,152.7,4.4,3.4,3.9
8/2020 - 10/2020,1944.6,1952.3,3896.9,-2.1,-2.5,-2.3,66.4,54.3,59.7,150.9,103,253.9,7.8,5.3,6.5,6.3,1793.7,1849.3,3643,87.3,64.3,151.6,4.5,3.3,3.9
9/2020 - 11/2020,1951.1,1953,3904.1,-1.9,-1.9,-1.9,66.6,54.2,59.8,146.8,94.6,241.4,7.5,4.8,6.2,6.2,1804.3,1858.4,3662.7,80,53.4,133.4,4.1,2.7,3.4
10/2020 - 12/2020,1953.5,1949.3,3902.8,-1.6,-1.8,-1.7,66.6,54.1,59.7,148,97.9,245.9,7.6,5,6.3,6.6,1805.5,1851.4,3656.9,79.5,54.5,134,4.1,2.8,3.4
11/2020 - 1/2021,1942.5,1951.4,3893.8,-1.9,-1.4,-1.6,66.3,54.2,59.6,150.9,102.5,253.4,7.8,5.3,6.5,7,1791.6,1848.9,3640.4,84.5,63.4,147.9,4.4,3.2,3.8
12/2020 - 2/2021,1932.4,1949.6,3882.1,-1.5,-1.4,-1.5,66.1,54.2,59.6,150.7,110.1,260.8,7.8,5.6,6.7,7.2,1781.8,1839.5,3621.3,87.1,66.2,153.3,4.5,3.4,3.9
1/2021 - 3/2021,1932.8,1955.7,3888.5,-0.8,-0.9,-0.8,66.2,54.4,59.7,152.3,108.6,260.9,7.9,5.6,6.7,6.8,1780.5,1847.2,3627.6,82.9,65.7,148.6,4.3,3.4,3.8
2/2021 - 4/2021,1935.4,1954.2,3889.6,0.1,-0.6,-0.2,66.2,54.3,59.7,144.4,104.6,249,7.5,5.4,6.4,6.4,1791,1849.6,3640.6,69,57.8,126.7,3.6,3,3.3
3/2021 - 5/2021,1931.6,1961.1,3892.7,[¡ì3],0.1,[¡ì3],66,54.5,59.7,139.6,95.6,235.2,7.2,4.9,6,6,1791.9,1865.5,3657.4,59.4,47.4,106.8,3.1,2.4,2.7
4/2021 - 6/2021,1923.6,1962,3885.7,-0.7,-0.3,-0.5,65.7,54.5,59.6,127.7,86.8,214.5,6.6,4.4,5.5,5.4,1795.9,1875.2,3671.1,55.5,40.3,95.8,2.9,2.1,2.5
5/2021 - 7/2021,1920.7,1963.3,3884,-1.6,-0.2,-0.9,65.6,54.6,59.6,122.3,76.9,199.2,6.4,3.9,5.1,4.9,1798.4,1886.4,3684.8,56.2,36.1,92.3,2.9,1.8,2.4
6/2021 - 8/2021,1923.1,1955.4,3878.4,-1.4,-0.6,-1,65.7,54.4,59.5,112.5,76.3,188.8,5.9,3.9,4.9,4.6,1810.5,1879.1,3689.6,52,35.1,87,2.7,1.8,2.2
7/2021 - 9/2021,1924.2,1949.8,3874,-1.3,-0.3,-0.8,65.6,54.2,59.3,106,75,181,5.5,3.8,4.7,4.5,1818.2,1874.9,3693.1,48.3,31.9,80.2,2.5,1.6,2.1
8/2021 - 10/2021,1925.2,1946,3871.2,-1,-0.3,-0.7,65.5,54,59.2,98.4,74.3,172.6,5.1,3.8,4.5,4.3,1826.8,1871.7,3698.6,46,27.2,73.2,2.4,1.4,1.9
9/2021 - 11/2021,1920.7,1940.7,3861.5,-1.6,-0.6,-1.1,65.3,53.8,59,92.7,67.1,159.9,4.8,3.5,4.1,4.2,1828,1873.6,3701.6,45.5,25,70.5,2.4,1.3,1.8
10/2021 - 12/2021,1915.5,1935.4,3850.9,-1.9,-0.7,-1.3,65.2,53.7,58.9,84.2,61,145.2,4.4,3.2,3.8,4,1831.3,1874.3,3705.6,41.3,25.3,66.7,2.2,1.3,1.7
11/2021 - 1/2022,1907.9,1929.4,3837.3,-1.8,-1.1,-1.5,65.1,53.6,58.8,80.3,57.3,137.7,4.2,3,3.6,3.9,1827.5,1872.1,3699.6,42.4,27.9,70.3,2.2,1.4,1.8
12/2021 - 2/2022,1901.5,1921.6,3823.1,-1.6,-1.4,-1.5,65,53.5,58.7,93.9,67.9,161.8,4.9,3.5,4.2,4.5,1807.5,1853.7,3661.2,52.5,36.6,89.1,2.8,1.9,2.3
1/2022 - 3/2022,1884.9,1908.6,3793.6,-2.5,-2.4,-2.4,64.6,53.3,58.4,112.7,76.3,189.1,6,4,5,5.1,1772.2,1832.3,3604.5,70.2,46.8,117.1,3.7,2.5,3.1
2/2022 - 4/2022,1873.5,1888.1,3761.6,-3.2,-3.4,-3.3,64.4,52.9,58.1,121.3,86.4,207.7,6.5,4.6,5.5,5.5,1752.1,1801.7,3553.9,81.2,61.2,142.4,4.3,3.2,3.8
3/2022 - 5/2022,1867.4,1876.9,3744.2,-3.3,-4.3,-3.8,64.3,52.7,57.9,113.2,79.6,192.8,6.1,4.2,5.2,5.1,1754.1,1797.3,3551.4,76.8,54.1,130.8,4.1,2.9,3.5
4/2022 - 6/2022,1880.6,1873.7,3754.3,-2.2,-4.5,-3.4,64.7,52.6,58,103.8,76.4,180.2,5.5,4.1,4.8,4.7,1776.8,1797.2,3574,64.8,47.3,112.1,3.4,2.5,3
5/2022 - 7/2022,1881.9,1888.3,3770.2,-2,-3.8,-2.9,64.6,52.9,58.2,99.7,70.2,169.9,5.3,3.7,4.5,4.3,1782.2,1818.1,3600.3,50.9,33.9,84.8,2.7,1.8,2.2
6/2022 - 8/2022,1894.4,1896.3,3790.8,-1.5,-3,-2.3,64.8,52.9,58.3,98.2,66.4,164.6,5.2,3.5,4.3,4.1,1796.3,1829.9,3626.2,46.2,30.9,77.2,2.4,1.6,2
7/2022 - 9/2022,1902,1906.1,3808.1,-1.2,-2.2,-1.7,64.7,52.9,58.2,94.1,64.3,158.4,4.9,3.4,4.2,4,1807.9,1841.8,3649.7,42.6,27.3,69.9,2.2,1.4,1.8
8/2022 - 10/2022,1915.2,1916.8,3832.1,-0.5,-1.5,-1,64.8,52.9,58.2,90.5,60,150.5,4.7,3.1,3.9,3.8,1824.7,1856.9,3681.6,41.3,22.8,64.1,2.2,1.2,1.7
9/2022 - 11/2022,1917.3,1926.2,3843.5,-0.2,-0.8,-0.5,64.5,52.8,58.1,84.3,56.5,140.8,4.4,2.9,3.7,3.6,1833,1869.6,3702.7,38.6,21.7,60.3,2,1.1,1.6
10/2022 - 12/2022,1913.4,1933.9,3847.3,-0.1,-0.1,-0.1,64.3,52.9,58,75.8,51.5,127.2,4,2.7,3.3,3.5,1837.6,1882.4,3720,35.3,20.6,55.9,1.8,1.1,1.5
11/2022 - 1/2023,1882.3,1898.2,3780.6,-1.3,-1.6,-1.5,64.5,52.9,58.1,70.2,48.2,118.4,3.7,2.5,3.1,3.4,1812.1,1850.1,3662.2,34.2,17.9,52.1,1.8,0.9,1.4
12/2022 - 2/2023,1871.9,1894.1,3766,-1.6,-1.4,-1.5,64.2,52.8,57.9,69.6,46.1,115.7,3.7,2.4,3.1,3.3,1802.3,1848,3650.2,33.2,14.6,47.9,1.8,0.8,1.3
1/2023 - 3/2023,1870.1,1899.1,3769.2,-0.8,-0.5,-0.6,64,52.9,57.9,69.4,45.7,115.1,3.7,2.4,3.1,3.1,1800.7,1853.4,3654.1,34.2,12.5,46.7,1.8,0.7,1.2
2/2023 - 4/2023,1871.9,1898.3,3770.3,-0.1,0.5,0.2,63.9,52.7,57.7,69.9,44.5,114.4,3.7,2.3,3,3,1802,1853.9,3655.9,33.2,11.4,44.5,1.8,0.6,1.2
3/2023 - 5/2023,1878.4,1908.6,3787,0.6,1.7,1.1,63.7,52.7,57.6,68.5,44.6,113.1,3.6,2.3,3,3,1809.9,1863.9,3673.8,30.7,13.7,44.4,1.6,0.7,1.2
4/2023 - 6/2023,1888.7,1913.7,3802.4,0.4,2.1,1.3,63.6,52.5,57.5,68.8,44.8,113.6,3.6,2.3,3,2.9,1819.9,1868.9,3688.8,27.9,13.7,41.5,1.5,0.7,1.1
5/2023 - 7/2023,1897,1922.7,3819.7,0.8,1.8,1.3,63.7,52.6,57.6,65.3,46.4,111.7,3.4,2.4,2.9,2.8,1831.7,1876.2,3708,26.2,14.4,40.5,1.4,0.7,1.1
6/2023 - 8/2023,1903.3,1923.2,3826.6,0.5,1.4,0.9,63.9,52.6,57.7,62.9,49.2,112.1,3.3,2.6,2.9,2.8,1840.4,1874.1,3714.5,26.5,12.4,38.9,1.4,0.6,1
7/2023 - 9/2023,1904.6,1929.7,3834.3,0.1,1.2,0.7,64,52.7,57.8,64.6,49.4,114,3.4,2.6,3,2.8,1840,1880.4,3720.3,26.2,11.7,37.9,1.4,0.6,1
