"Table 210-06101 : Statistics on labour force, employment, unemployment and underemployment",,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force (1),Labour force participation rate (2),Labour force participation rate (2),Labour force participation rate (2),Unemployed persons (3),Unemployed persons (3),Unemployed persons (3),Unemployment rate (4),Unemployment rate (4),Unemployment rate (4),Unemployment rate (seasonally adjusted) (5),Employed persons (6),Employed persons (6),Employed persons (6),Underemployed persons (7),Underemployed persons (7),Underemployed persons (7),Underemployment rate (8),Underemployment rate (8),Underemployment rate (8)
,,No. ('000),No. ('000),No. ('000),Year-on-year % change,Year-on-year % change,Year-on-year % change,(%),(%),(%),No. ('000),No. ('000),No. ('000),(%),(%),(%),(%),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),No. ('000),(%),(%),(%)
Sex,,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes,Male,Female,Both sexes
Year / Moving 3-month period,,,,,,,,,,,,,,,,,,,,,,,,,,
4/1985 - 6/1985,,1677.1,955.2,2632.2,N.A.,N.A.,N.A.,80.3,48.6,64.9,52.6,21.9,74.5,3.1,2.3,2.8,3.1,1624.5,933.3,2557.8,27.1,13.3,40.4,1.6,1.4,1.5
5/1985 - 7/1985,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
6/1985 - 8/1985,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
7/1985 - 9/1985,,1681.0,956.1,2637.1,N.A.,N.A.,N.A.,80.7,48.5,65.0,64.0,31.1,95.1,3.8,3.3,3.6,3.5,1617.0,925.0,2542.0,35.9,19.5,55.4,2.1,2.0,2.1
8/1985 - 10/1985,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
9/1985 - 11/1985,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
10/1985 - 12/1985,,1678.7,965.4,2644.1,N.A.,N.A.,N.A.,80.1,48.5,64.7,62.1,25.2,87.3,3.7,2.6,3.3,3.3,1616.6,940.2,2556.7,40.7,21.4,62.1,2.4,2.2,2.3
11/1985 - 1/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
12/1985 - 2/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1/1986 - 3/1986,,1697.2,958.8,2656.0,2.9,1.5,2.4,79.8,48.3,64.6,57.6,25.6,83.2,3.4,2.7,3.1,3.1,1639.6,933.2,2572.7,41.2,20.6,61.7,2.4,2.1,2.3
2/1986 - 4/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
3/1986 - 5/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
4/1986 - 6/1986,,1707.0,997.9,2704.9,1.8,4.5,2.8,80.4,49.7,65.4,54.3,26.6,80.9,3.2,2.7,3.0,3.2,1652.7,971.3,2624.0,38.6,13.5,52.1,2.3,1.4,1.9
5/1986 - 7/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
6/1986 - 8/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
7/1986 - 9/1986,,1728.6,990.0,2718.6,2.8,3.5,3.1,81.3,48.8,65.4,53.3,28.0,81.2,3.1,2.8,3.0,2.9,1675.3,962.0,2637.3,25.6,10.9,36.5,1.5,1.1,1.3
8/1986 - 10/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
9/1986 - 11/1986,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
10/1986 - 12/1986,,1722.1,997.3,2719.4,2.6,3.3,2.9,80.5,48.8,65.0,39.3,19.6,58.9,2.3,2.0,2.2,2.1,1682.8,977.7,2660.6,22.3,9.5,31.8,1.3,0.9,1.2
11/1986 - 1/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
12/1986 - 2/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1/1987 - 3/1987,,1703.7,958.0,2661.7,0.4,-0.1,0.2,80.2,47.3,64.2,33.5,17.2,50.6,2.0,1.8,1.9,2.0,1670.2,940.8,2611.1,18.5,6.9,25.4,1.1,0.7,1.0
2/1987 - 4/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
3/1987 - 5/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
4/1987 - 6/1987,,1724.7,991.6,2716.3,1.0,-0.6,0.4,80.0,48.3,64.5,25.1,16.1,41.2,1.5,1.6,1.5,1.7,1699.6,975.5,2675.1,19.4,10.0,29.4,1.1,1.0,1.1
5/1987 - 7/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
6/1987 - 8/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
7/1987 - 9/1987,,1735.1,1016.8,2751.9,0.4,2.7,1.2,80.5,49.3,65.2,30.4,19.5,49.9,1.8,1.9,1.8,1.6,1704.7,997.3,2702.0,19.0,7.8,26.8,1.1,0.8,1.0
8/1987 - 10/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
9/1987 - 11/1987,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
10/1987 - 12/1987,,1746.5,1036.4,2782.9,1.4,3.9,2.3,80.4,50.0,65.6,29.9,17.7,47.7,1.7,1.7,1.7,1.7,1716.5,1018.7,2735.2,19.2,9.2,28.4,1.1,0.9,1.0
11/1987 - 1/1988,,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
